"";"Company";"Year";"DateFactor";"AmihudMin";"Amihud1stQ";"AmihudMed";"AmihudMean";"Amihud3rdQ";"AmihudMax";"BidAskMin";"BidAsk1stQ";"BidAskMed";"BidAskMean";"BidAsk3rdQ";"BidAskMax";"AmihudV2Min";"AmihudV21stQ";"AmihudV2Med";"AmihudV2Mean";"AmihudV23rdQ";"AmihudV2Max";"CSR";"BusinessType";"NationCode";"NationFactor";"LegalOrigin";"LegalOriginCode";"Aktienkurs";"BidKurs";"AskKurs";"HandelsvolumenTsd";"TotalAssests";"ROEin";"MarketBeta";"MTB";"DividendeproAktieDPS";"dividendyield";"Marktkapitalisierung";"AnzahlausstehenderAktien";"NetIncome";"OperatingIncome";"EBIT";"EBITDA";"LeverageRatioTotalDebtCommonEquity";"TotalDebt";"SolvencyRatio";"Asset4CSR";"TGwennMutterauchinListe1";"ROA";"M1";"Handelsvolumen";"DollarVolume";"DebtRatio";"LogTotalAssets";"LogMarktkapitalisierung";"DividendBinary";"BidAskMean_Annual";"AktienkursVorjahr";"Kursrendite";"AmihudMean_Annual";"Aktienrendite";"Turnover";"logAktienkurs";"ReturnVolatility";"AmihudMean6";"LegalDummy_Binary";"LegalDummy_English";"LegalDummy_German";"LegalDummy_French";"LegalDummy_Scand";"LegalDummy_Soc";"CSR_Lag1";"CSR_Lag2";"CSR_Lag3";"CSR_Lag4";"Asset4CSR_Lag1";"Asset4CSR_Lag2";"Asset4CSR_Lag3";"Asset4CSR_Lag4";"Turnover_Lag1";"YearDummy_08";"YearDummy_09";"BComposite";"BLife";"BNonLife"
"AbuDhabiNati-2005";"AbuDhabiNati";2005;"2005-01-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;4,23;NA;NA;11186,7;634160;NA;-0,991;0,34;0,136;0,17;NA;242000;90796;90796;90796;1465;0;0;1;NA;FALSE;0,143175223918254;NA;11186700;47319741;0;20,2678118464932;NA;TRUE;NA;NA;NA;NA;NA;0,0462260330578512;1,44220199305819;NA;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2006";"AbuDhabiNati";2006;"2006-01-01";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,98;NA;NA;4920,3;572161;18,24;0,36;1,57;0,136;3,57;NA;300000;81707;81707;81707;1406;0;0;1310;NA;FALSE;0,142804210702932;NA;4920300;9742194;0;20,1649309782707;NA;TRUE;NA;4,23;-53,1914893617021;-5,45989375194346e-06;-0,499763593380615;0,016401;0,683096844706444;0,0803852100935365;NA;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;NA;NA;NA;NA;NA;NA;NA;NA;0.0462260330578512;FALSE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2007";"AbuDhabiNati";2007;"2007-01-01";-0,00198;-0,000244;-7,41e-05;-0,000208;-5,53e-06;0;0,0112;0,0652;0,087;0,0875;0,104;0,18;-1,98e-05;-2,44e-06;-7,41e-07;-2,08e-06;-5,53e-08;0;0;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,82;NA;NA;14093,5;757245;17,24;-0,69;1,25;0,068;5,97;NA;300000;89913;78585;89913;1461;0;0;1320;NA;FALSE;0,118737000574451;NA;14093500;25650170;0;20,4451974050106;NA;TRUE;NA;1,98;-8,08080808080808;-3,15039113132276e-07;-0,0464646464646464;0,0469783333333333;0,598836501088704;0,0514542995820172;-208;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;0;NA;NA;NA;NA;NA;NA;NA;0.016401;FALSE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2008";"AbuDhabiNati";2008;"2008-01-01";-0,0414;-8,72e-05;-1,46e-05;-0,000934;-2,81e-06;0;0,00418;0,0437;0,072;0,125;0,165;0,432;-0,000423;-8,72e-07;-1,46e-07;-9,47e-06;-2,81e-08;0;0;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;2,33;2,22;2,31;10318,8;653869;10,15;-0,285;1,5;0,136;2,34;847365;375000;57245;30729;57245;1186;0;0;1198;NA;FALSE;0,0875481174363672;2,265;10318800;24042804;0;20,2984175835472;20,5576420924952;TRUE;0,0397350993377483;1,82;28,021978021978;-1,16550306254122e-06;0,354945054945055;0,0275168;0,845868267577609;0,0791406733348551;-934;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;0;0;NA;NA;NA;NA;NA;NA;0.0469783333333333;TRUE;FALSE;FALSE;FALSE;TRUE
"AbuDhabiNati-2009";"AbuDhabiNati";2009;"2009-01-01";-0,00554;-3,65e-05;-1,77e-05;-0,000356;0;0;0,0287;0,0698;0,0795;0,0796;0,088;0,191;-5,56e-05;-3,65e-07;-1,77e-07;-3,57e-06;0;0;2;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,64;1,63;1,78;1870,3;746206;2,51;0,028;1,13;0,068;8,31;917832;375000;14143;3389;14143;322;0;0;1212;NA;FALSE;0,0189532113116217;1,705;1870300;3067292;0;20,4305122594588;20,6375249253011;TRUE;0,0879765395894429;2,33;-29,6137339055794;-9,6546370383973e-06;-0,266952789699571;0,00498746666666667;0,494696241836107;0,0410422711652152;-356;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;0;0;0;NA;NA;NA;NA;NA;0.0275168;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2010";"AbuDhabiNati";2010;"2010-01-01";-0,0522;-0,000174;-4,23e-06;-0,00196;0;0;0,0059;0,0293;0,0702;0,0734;0,0932;0,196;-0,000536;-1,74e-06;-4,23e-08;-2e-05;0;0;12;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,65;1,66;1,73;28267,9;796877;7,05;0,5;1,11;0,095;4,13;710631;375000;38772;45116;38772;974;1,8;10001;1203;NA;FALSE;0,0486549367091785;1,695;28267900;46642035;0,0125502430111548;20,4962108961118;20,3816638657052;TRUE;0,0412979351032449;1,64;0,609756097560976;-1,30731022929606e-08;0,0640243902439025;0,0753810666666667;0,500775287912489;0,0404683384042841;-1960;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;2;0;0;NA;NA;NA;NA;0;0.00498746666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2011";"AbuDhabiNati";2011;"2011-01-01";-0,0126;-6,81e-05;-6,84e-06;-0,000882;0;0;0,00601;0,0242;0,0359;0,0482;0,0537;0,155;-0,000126;-6,81e-07;-6,84e-08;-8,86e-06;0;0;13;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,7;1,55;1,7;11336,2;847503;7,71;-0,37;1,14;0,095;5,6;612583;375000;43060;46463;43060;1042;0;0;1189;NA;FALSE;0,050808079735411;1,625;11336200;19271540;0;20,5578049370356;20,2331950014066;TRUE;0,0923076923076923;1,65;3,03030303030303;-1,57242378745231e-07;0,0878787878787879;0,0302298666666667;0,53062825106217;0,0203578032813011;-882;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;12;2;0;NA;NA;NA;NA;0;0.0753810666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2012";"AbuDhabiNati";2012;"2012-01-01";-0,00589;-0,000854;-0,000125;-0,000803;-7,56e-06;0;0,00697;0,0212;0,0403;0,0454;0,0478;0,133;-5,91e-05;-8,55e-06;-1,25e-06;-8,05e-06;-7,56e-08;0;13;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,53;1,42;NA;5690,5;943340;7,03;0,085;1,02;0,109;6,24;551323;375000;39407;39407;39407;1003;1,01;5657;1153;NA;FALSE;0,0417739097250196;NA;5690500;8706465;0,00599677740793351;20,6649373270463;20,1278314022616;TRUE;NA;1,7;-10;-1,14857112007746e-06;-0,0358823529411764;0,0151746666666667;0,425267735404344;0,0167449091814626;-803;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;13;12;2;NA;NA;NA;NA;0;0.0302298666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2013";"AbuDhabiNati";2013;"2013-01-01";-0,00216;-0,000163;-1,61e-05;-0,000204;0;0;0,00635;0,0212;0,0387;0,0483;0,0698;0,138;-2,16e-05;-1,63e-06;-1,61e-07;-2,05e-06;0;0;13;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,52;1,57;1,58;1469,1;1031815;8,33;0,612;0,92;0,123;7,14;602357;375000;49262;41573;NA;1;0,91;5657;1014;NA;FALSE;0,0477430547142656;1,575;1469100;2233032;0,0054825719726889;20,7545852243703;20,2163608507601;TRUE;0,00634920634920635;1,53;-0,653594771241828;-2,92693824086371e-07;0,0738562091503268;0,0039176;0,418710334858185;0,0175109750436426;-204;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;13;13;12;NA;NA;NA;NA;2;0.0151746666666667;TRUE;TRUE;FALSE;FALSE;TRUE
"AbuDhabiNati-2014";"AbuDhabiNati";2014;"2014-01-01";-0,00609;-0,000351;-1,27e-05;-0,00068;0;0;0;0,0279;0,0559;0,0606;0,0826;0,233;-6,11e-05;-3,51e-06;-1,27e-07;-6,81e-06;0;0;12;"Non-Life";784;"UNITED ARAB EMIRATES";"English";1;1,77;1,67;1,91;4640;1009666;-14,31;-3,052;1,49;0;6,92;617677;375000;-76347;-76347;NA;1;1,27;5657;666;NA;FALSE;-0,0756160948273984;1,79;4640000;8212800;0,00560284292033207;20,7328854200393;20,2414762250692;FALSE;0,134078212290503;1,52;16,4473684210526;-2,00264854275888e-06;0,164473684210526;0,0123733333333333;0,570979546585738;0,0398165924889361;-680;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;13;13;13;NA;NA;NA;NA;12;0.0039176;TRUE;TRUE;FALSE;FALSE;TRUE
